name,url,description,remote_support,adaptive_support,duration
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,"iOS Development (New): Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",Yes,No,Available
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,Typing (New): Typing based test that evaluates typing speed and accuracy.,Yes,No,Available
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,Yes,No,Available
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,Reading Comprehension - Spanish v1: The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a…,Yes,No,Available
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Digital Readiness Development Report - Manager: This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at…,Yes,No,Available
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,"Networking and Implementation (New): Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",Yes,No,Available
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Java Design Patterns (New): Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,Yes,No,Available
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,"Fundamentals of Physics (New): Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",Yes,No,Available
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,MFS 360 UCF Group Report: This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all…,Yes,No,Available
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Yes,No,Available
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,Yes,No,Available
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Apache Spark (New): Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",Yes,No,Available
